Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
F1,08/02/2025,20:05,St Etienne,Rennes,0,2,A
F1,09/02/2025,14:00,Lyon,Reims,4,0,H
F1,09/02/2025,16:15,Auxerre,Toulouse,2,2,D
F1,09/02/2025,16:15,Strasbourg,Montpellier,2,0,H
F1,09/02/2025,19:45,Angers,Marseille,0,2,A
F1,14/02/2025,19:45,Brest,Auxerre,2,2,D
F1,15/02/2025,16:00,Marseille,St Etienne,5,1,H
F1,15/02/2025,18:00,Monaco,Nantes,7,1,H
F1,15/02/2025,20:05,Toulouse,Paris SG,0,1,A
F1,16/02/2025,14:00,Montpellier,Lyon,1,4,A
F1,16/02/2025,16:15,Le Havre,Nice,1,3,A
F1,16/02/2025,16:15,Lens,Strasbourg,0,2,A
F1,16/02/2025,16:15,Reims,Angers,0,1,A
F1,16/02/2025,19:45,Rennes,Lille,0,2,A
F1,21/02/2025,19:45,Rennes,Reims,1,0,H
F1,22/02/2025,16:00,Lille,Monaco,2,1,H
F1,22/02/2025,18:00,St Etienne,Angers,3,3,D
F1,22/02/2025,20:05,Auxerre,Marseille,3,0,H
F1,23/02/2025,14:00,Nantes,Lens,3,1,H
F1,23/02/2025,16:15,Le Havre,Toulouse,1,4,A
F1,23/02/2025,16:15,Nice,Montpellier,2,0,H
F1,23/02/2025,16:15,Strasbourg,Brest,0,0,D
F1,23/02/2025,19:45,Lyon,Paris SG,2,3,A
F1,28/02/2025,19:45,Monaco,Reims,3,0,H
F1,01/03/2025,16:00,St Etienne,Nice,1,3,A
F1,01/03/2025,18:00,Lens,Le Havre,3,4,A
F1,01/03/2025,20:05,Paris SG,Lille,4,1,H
F1,02/03/2025,14:00,Lyon,Brest,2,1,H
F1,02/03/2025,16:15,Angers,Toulouse,0,4,A
F1,02/03/2025,16:15,Auxerre,Strasbourg,0,1,A
F1,02/03/2025,16:15,Montpellier,Rennes,0,4,A
F1,02/03/2025,19:45,Marseille,Nantes,2,0,H
F1,07/03/2025,19:45,Toulouse,Monaco,1,1,D
F1,08/03/2025,16:00,Rennes,Paris SG,1,4,A
F1,08/03/2025,18:00,Lille,Montpellier,1,0,H
F1,08/03/2025,20:05,Marseille,Lens,0,1,A
F1,09/03/2025,14:00,Brest,Angers,2,0,H
F1,09/03/2025,16:15,Le Havre,St Etienne,1,1,D
F1,09/03/2025,16:15,Nantes,Strasbourg,0,1,A
F1,09/03/2025,16:15,Reims,Auxerre,0,2,A
F1,09/03/2025,19:45,Nice,Lyon,0,2,A
F1,14/03/2025,19:45,Nice,Auxerre,1,1,D
F1,15/03/2025,16:00,Nantes,Lille,1,0,H
F1,15/03/2025,18:00,Angers,Monaco,0,2,A
F1,15/03/2025,20:05,Lens,Rennes,1,0,H
F1,16/03/2025,14:00,Lyon,Le Havre,4,2,H
F1,16/03/2025,16:15,Brest,Reims,0,0,D
F1,16/03/2025,16:15,Montpellier,St Etienne,0,2,A
F1,16/03/2025,16:15,Strasbourg,Toulouse,2,1,H
F1,16/03/2025,19:45,Paris SG,Marseille,3,1,H
